latitude,longitude,name,desc,color,source,precision
39.949731,-75.197526,3700 Hamilton Walk Philadelphia,"3700 Hamilton Walk, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.947335,-75.193241,3400 Civic Center Blvd Philadelphia,"3400 Civic Center Boulevard, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.953335,-75.183643,3300 Chestnut St Philadelphia,"Chestnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.947795,-75.230284,4017 Baltimore Ave. Philadelphia,"Baltimore Avenue, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.956471,-75.221454,4109 Walnut St Philadelphia,"Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.956471,-75.221454,3400 Walnut St Philadelphia,"Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.941942,-75.19732,138 S 34th St Philadelphia,"South 34th Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.952267,-75.193468,3335 Woodland Walk Philadelphia,"Woodland Walk, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.78373,-100.445882,451 University Ave Philadelphia,US,,MapQuest Open,country
39.956471,-75.221454,3730 Walnut St Philadelphia,"Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.956471,-75.221454,3900 Walnut St Philadelphia,"Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.956471,-75.221454,3900 Walnut St Philadelphia,"Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.78373,-100.445882,46th & Walnut St Philadelphia,US,,MapQuest Open,country
39.78373,-100.445882,46th & Osage Ave Philadelphia,US,,MapQuest Open,country
39.947741,-75.160724,4618 Locust St Philadelphia,"Locust Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.950762,-75.203294,100 S 40th St Philadelphia,"South 40th Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.956471,-75.221454,3400 Walnut St Philadelphia,"Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
